Book,Reviews,Price,Author,Rank,Estimated Sales,Monthly revenue
Moon USA ,90,18.99,Becky Lomax,3090,957,18173.43
 Geographic Complete ,170,31.99,National Geographic,1376,1750,55982.5
Moon USA ,90,18.99,Becky Lomax,3090,957,18173.43
Your Guide to the ,175,21.49,Michael Joseph Oswald,9953,376,8080.24
The ,33,11.69,Stefanie Payne,33815,131,1531.3899999999999
 Geographic Atlas of the ,1335,40.99,Paperback,12057,320,13116.800000000001
Mapping America's ,32,23.99,eTextbook,38229,117,2806.83
Subpar ,1442,15.29,Amber Share,7219,489,7476.8099999999995
 Park Maps: An Atlas of the U.S. ,3,20.0,Michael Joseph Oswald,27927,155,3100.0
DTP's 2023 NFL Draft Guide: The Ultimate Draft Guide for the 2023 NFL Draft Featuring Over 300 Players,11,17.99,Daniel Parlegreco,5043,653,11747.47
The ,50,22.49,Kindle,43557,104,2338.96
Mystery In Rocky Mountain ,592,11.98,Kindle,612,3090,37018.200000000004
100 Things to See in the ,11,16.99,Stefanie Payne,74450,63,1070.37
Knitting the ,316,25.41,Nancy Bates,25574,168,4268.88
Rand McNally 2023 Road Atlas & ,825,25.41,Rand McNally,329,4665,118537.65
Lonely Planet ,99,25.49,Lonely Planet,63016,74,1886.26
 Geographic Complete ,170,31.99,National Geographic,1376,1750,55982.5
Our ,392,14.95,John Muir,302013,16,239.2
